"id","site","door_type","brand","name","price","model","link","total","date"
1,"homedepot","door","","Masonite Solidoor Smooth 2-Panel Solid Core Primed Composite Interior Door Slab",101.41,"Model # 16807","http://www.homedepot.com/p/Masonite-Solidoor-Smooth-2-Panel-Solid-Core-Primed-Composite-Interior-Door-Slab-16807/202768990","All Products (380)","2014-11-25 21:14:05"
2,"homedepot","door","","Masonite Solidoor Roman Smooth 2-Panel Round Top Solid Core Primed Composite Interior Door Slab",101.41,"Model # 24935","http://www.homedepot.com/p/Masonite-Solidoor-Roman-Smooth-2-Panel-Round-Top-Solid-Core-Primed-Composite-Interior-Door-Slab-24935/202769008","All Products (380)","2014-11-25 21:14:05"
3,"homedepot","door","","Masonite Roman Smooth 2-Panel Round Top Hollow Core Primed Composite Interior Door Slab",50.13,"Model # 11086","http://www.homedepot.com/p/Masonite-Roman-Smooth-2-Panel-Round-Top-Hollow-Core-Primed-Composite-Interior-Door-Slab-11086/202505874","All Products (380)","2014-11-25 21:14:05"
4,"homedepot","door","","Masonite Cheyenne Smooth 2-Panel Camber Top Plank Hollow Core Primed Composite Interior Door Slab",50.13,"Model # 24881","http://www.homedepot.com/p/Masonite-Cheyenne-Smooth-2-Panel-Camber-Top-Plank-Hollow-Core-Primed-Composite-Interior-Door-Slab-24881/202769003","All Products (380)","2014-11-25 21:14:05"
5,"homedepot","door","","Masonite Mini Blind Primed Steel Entry Door with No Brickmold",484.46,"Model # 46576","http://www.homedepot.com/p/Masonite-Mini-Blind-Primed-Steel-Entry-Door-with-No-Brickmold-46576/202874158","All Products (380)","2014-11-25 21:14:05"
6,"homedepot","door","","Masonite Halifax Camber Fanlite Painted Smooth Fiberglass Entry Door with Brickmold",503.77,"Model # 24291","http://www.homedepot.com/p/Masonite-Halifax-Camber-Fanlite-Painted-Smooth-Fiberglass-Entry-Door-with-Brickmold-24291/202896486","All Products (380)","2014-11-25 21:14:05"
7,"homedepot","door","","Masonite Solidoor Smooth 6-Panel Solid Core Primed Composite Prehung Interior Door",158.38,"Model # 19006","http://www.homedepot.com/p/Masonite-Solidoor-Smooth-6-Panel-Solid-Core-Primed-Composite-Prehung-Interior-Door-19006/202872588","All Products (380)","2014-11-25 21:14:05"
8,"homedepot","door","","Masonite Half Lite Painted Steel Entry Door with Brickmold and Pet Door",574.15,"Model # 79635","http://www.homedepot.com/p/Masonite-Half-Lite-Painted-Steel-Entry-Door-with-Brickmold-and-Pet-Door-79635/204112463","All Products (380)","2014-11-25 21:14:05"
9,"homedepot","door","","Masonite MDF Series Smooth 5-Panel Equal Solid Core Primed Composite Interior Door Slab",176.61,"Model # 14117","http://www.homedepot.com/p/Masonite-MDF-Series-Smooth-5-Panel-Equal-Solid-Core-Primed-Composite-Interior-Door-Slab-14117/202505917","All Products (380)","2014-11-25 21:14:05"
10,"homedepot","door","","Masonite Providence Center Arch Painted Smooth Fiberglass Entry Door with Brickmold",530.40,"Model # 22242","http://www.homedepot.com/p/Masonite-Providence-Center-Arch-Painted-Smooth-Fiberglass-Entry-Door-with-Brickmold-22242/202896537","All Products (380)","2014-11-25 21:14:05"
